日期,板块名称,涨的数量,跌的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停
2023-03-02,涤纶,0,1,0.0,-0.91,94814123567.94,948.14,0,0,0,1,0,0,0,0,0
2023-03-02,港口,1,0,100.0,1.1,71592149308.32,715.92,0,0,0,0,0,1,0,0,0
2023-03-02,港口航运,2,1,66.66666666666666,1.22,218548720343.84003,2185.49,0,0,0,1,0,2,0,0,0
2023-03-02,游戏,1,0,100.0,3.61,52873884459.04,528.74,0,0,0,0,0,0,1,0,0
2023-03-02,火电,2,1,66.66666666666666,0.19666666666666668,208656323338.41,2086.56,0,0,0,1,0,2,0,0,0
2023-03-02,煤炭开采,3,0,100.0,0.44333333333333336,202770088872.0,2027.70,0,0,0,0,1,2,0,0,0
2023-03-02,煤炭开采加工,3,0,100.0,0.44333333333333336,202770088872.0,2027.70,0,0,0,0,1,2,0,0,0
2023-03-02,燃气,0,1,0.0,-3.29,60114054575.799995,601.14,0,0,1,0,0,0,0,0,0
2023-03-02,燃气Ⅲ,0,1,0.0,-3.29,60114054575.799995,601.14,0,0,1,0,0,0,0,0,0
2023-03-02,物流,0,1,0.0,-1.96,61897332592.27,618.97,0,0,0,1,0,0,0,0,0
2023-03-02,玻璃玻纤,0,1,0.0,-0.13,62408901589.52,624.09,0,0,0,1,0,0,0,0,0
2023-03-02,生物制品,0,2,0.0,-1.065,139612721491.22,1396.13,0,0,0,2,0,0,0,0,0
2023-03-02,电力,4,1,80.0,0.4640000000000001,348675568891.56,3486.76,0,0,0,1,0,4,0,0,0
2023-03-02,电力设备,2,12,14.285714285714285,-1.1735714285714285,928987351336.42,9289.87,0,1,0,11,0,1,1,0,0
2023-03-02,电池,0,4,0.0,-1.14,275614583618.43,2756.15,0,0,0,4,0,0,0,0,0
2023-03-02,疫苗,0,1,0.0,-0.39,61449091883.520004,614.49,0,0,0,1,0,0,0,0,0
2023-03-02,白色家电,0,2,0.0,-4.285,159740381716.2,1597.40,0,1,0,1,0,0,0,0,0
2023-03-02,白酒,3,0,100.0,0.9500000000000001,204200332302.62,2042.00,0,0,0,0,0,3,0,0,0
2023-03-02,纺织制造,0,1,0.0,-2.84,65818800000.0,658.19,0,0,0,1,0,0,0,0,0
2023-03-02,美容护理,2,1,66.66666666666666,1.3666666666666665,172112661488.78998,1721.13,0,0,0,1,0,1,1,0,0
2023-03-02,肉制品,0,1,0.0,-0.67,92367867938.58,923.68,0,0,0,1,0,0,0,0,0
2023-03-02,股份制银行,1,0,100.0,0.57,81398414870.07,813.98,0,0,0,0,0,1,0,0,0
2023-03-02,能源金属,0,1,0.0,-1.69,93126924407.32,931.27,0,0,0,1,0,0,0,0,0
2023-03-02,航天装备,1,0,100.0,10.0,63360000000.0,633.60,0,0,0,0,0,0,0,1,0
2023-03-02,航海装备,1,0,100.0,1.33,86647734231.2,866.48,0,0,0,0,0,1,0,0,0
2023-03-02,航空装备,0,1,0.0,-0.64,72937224661.62,729.37,0,0,0,1,0,0,0,0,0
2023-03-02,航空运输,1,0,100.0,0.51,57581352257.79,575.81,0,0,0,0,0,1,0,0,0
2023-03-02,航运,1,1,50.0,1.28,146956571035.52002,1469.57,0,0,0,1,0,1,0,0,0
2023-03-02,被动元件,0,1,0.0,-1.25,60791296608.119995,607.91,0,0,0,1,0,0,0,0,0
2023-03-02,计算机应用,6,6,50.0,0.11583333333333333,834082292506.09,8340.82,0,0,0,6,1,4,1,0,0
2023-03-02,计算机设备,1,2,33.33333333333333,-0.6866666666666666,187074232002.18,1870.74,0,0,0,2,0,1,0,0,0
2023-03-02,证券,5,6,45.45454545454545,-0.2675,904357995962.42,9043.58,0,0,1,4,2,5,0,0,0
2023-03-02,软件开发,6,3,66.66666666666666,0.45222222222222214,629380619508.8099,6293.81,0,0,0,3,1,4,1,0,0
2023-03-02,软饮料,0,1,0.0,-1.08,81514037800.0,815.14,0,0,0,1,0,0,0,0,0
2023-03-02,输变电设备,0,2,0.0,-1.5950000000000002,146426055010.81,1464.26,0,0,0,2,0,0,0,0,0
2023-03-02,通信服务,1,0,100.0,0.14,76491521370.91,764.92,0,0,0,0,0,1,0,0,0
2023-03-02,通信线缆及配套,1,0,100.0,1.43,55596949831.079994,555.97,0,0,0,0,0,1,0,0,0
2023-03-02,通信终端及配件,1,0,100.0,2.25,63564431017.5,635.64,0,0,0,0,0,1,0,0,0
2023-03-02,通信设备,2,0,100.0,1.8399999999999999,119161380848.57999,1191.61,0,0,0,0,0,2,0,0,0
2023-03-02,酒店,1,0,100.0,0.29,57657899494.04,576.58,0,0,0,0,0,1,0,0,0
2023-03-02,酒店及餐饮,1,0,100.0,0.29,57657899494.04,576.58,0,0,0,0,0,1,0,0,0
2023-03-02,钛白粉,1,0,100.0,1.67,53921676975.36,539.22,0,0,0,0,0,1,0,0,0
2023-03-02,钢铁,0,1,0.0,-1.45,92993466601.92,929.93,0,0,0,1,0,0,0,0,0
2023-03-02,银行,6,1,85.71428571428571,0.2671428571428572,496798781664.18,4967.99,0,0,0,1,0,6,0,0,0
2023-03-02,集成电路制造,2,0,100.0,0.195,154502962858.09,1545.03,0,0,0,0,0,2,0,0,0
2023-03-02,集成电路封测,0,1,0.0,-1.27,51268921930.0,512.69,0,0,0,1,0,0,0,0,0
2023-03-02,集成电路设计,1,4,20.0,-1.296,344072348295.39,3440.72,0,0,1,3,0,1,0,0,0
2023-03-02,面板,0,1,0.0,-0.45,62576665197.659996,625.77,0,0,0,1,0,0,0,0,0
2023-03-02,风电设备,0,1,0.0,-1.57,56824863507.060005,568.25,0,0,0,1,0,0,0,0,0
2023-03-02,食品加工制造,0,1,0.0,-0.67,92367867938.58,923.68,0,0,0,1,0,0,0,0,0
2023-03-02,饮料制造,5,1,83.33333333333334,0.48,432281012641.0,4322.81,0,0,0,1,0,5,0,0,0
2023-03-02,饲料,0,1,0.0,-0.6,59769665773.65,597.70,0,0,0,1,0,0,0,0,0
2023-03-02,高速公路,1,0,100.0,0.83,52762215024.259995,527.62,0,0,0,0,0,1,0,0,0
2023-03-03,IT服务,0,3,0.0,-1.4800000000000002,201538808950.53,2015.39,0,0,0,3,0,0,0,0,0
